,extraction_date,round,name,club,position,fantasy_value,fantasy_position_group,minutes,man_of_match,meters_carried,defenders_beaten,offloads,tries,assists,conversions,penalties,drop_goals,scrum_wins,kick_50_22,tackles,breakdown_steals,lineout_steals,penalties_conceded,yellow_cards,red_cards,points,points_per_min
0,2025-03-13,1,G. Alldritt,France,Back Row,17.0,Back Row,80,1,90,2,1,1,0,0,0,0,3,0,18,1,0,0,0,0,71.0,88
1,2025-03-13,1,H. Jones,Scotland,Centre,16.0,Centre,80,1,126,2,0,3,0,0,0,0,0,0,5,0,0,0,0,0,66.0,82
2,2025-03-13,1,R. Darge,Scotland,Back Row,14.0,Back Row,80,0,53,2,3,1,0,0,0,0,5,0,12,1,0,0,0,0,52.0,65
3,2025-03-13,1,T. Curry,England,Back Row,14.0,Back Row,80,0,32,1,0,1,0,0,0,0,2,0,13,3,0,0,0,0,50.0,62
4,2025-03-13,1,J. Morgan,Wales,Back Row,16.0,Back Row,80,0,121,3,1,0,0,0,0,0,8,0,21,0,0,0,0,0,49.0,61
5,2025-03-13,1,J. Gibson-Park,Ireland,Scrum-Half,16.0,Scrum-Half,74,1,39,1,1,1,0,0,0,0,0,0,10,0,0,0,0,0,42.0,56
6,2025-03-13,1,L. Bielle-Biarrey,France,Back Three,15.0,Back Three,80,0,53,5,1,2,0,0,0,0,0,0,4,0,0,0,0,0,41.0,51
7,2025-03-13,1,J. Lowe,Ireland,Back Three,18.0,Back Three,80,0,167,3,1,0,3,0,0,0,0,0,5,0,0,0,0,0,41.0,51
8,2025-03-13,1,D. Graham,Scotland,Back Three,16.0,Back Three,72,0,122,11,0,0,1,0,0,0,0,0,3,0,0,0,0,0,41.0,56
9,2025-03-13,1,T. Menoncello,Italy,Centre,15.0,Centre,80,0,100,3,2,0,0,0,0,0,0,0,15,1,0,1,0,0,39.0,48
10,2025-03-13,1,T. Attissogbe,France,Back Three,11.0,Back Three,80,0,79,1,1,2,0,0,0,0,0,0,7,0,0,0,0,0,38.0,47
11,2025-03-13,1,T. Ramos,France,Back Three,19.0,Back Three,67,0,58,4,1,0,1,4,0,0,0,1,3,0,0,0,0,0,37.0,55
12,2025-03-13,1,T. Beirne,Ireland,Second Row,17.0,Second Row,80,0,25,0,0,1,0,0,0,0,3,0,12,1,0,2,0,0,35.0,43
13,2025-03-13,1,D. Jenkins,Wales,Second Row,15.0,Second Row,80,0,34,0,0,0,0,0,0,0,8,0,24,0,0,0,0,0,35.0,43
14,2025-03-13,1,S. Negri,Italy,Back Row,12.0,Back Row,80,0,48,1,0,0,0,0,0,0,3,0,26,0,0,2,0,0,33.0,41
15,2025-03-13,1,T. Freeman,England,Back Three,14.0,Back Three,80,0,85,4,0,1,0,0,0,0,0,0,6,0,0,0,0,0,32.0,40
